Year	Block 	Well	Pollen source nest	Pollen source cell	Pollen source species	Pollen type	Bee source	Bee source cell	Est date laid	Mean date laid	Est DOY laid	Bee species	Bee subgenus	Origin pollen	Transfer type	Transferred as	Transfer date	Est eclosion date	Day of event yr 1	Event	Days to event	Survival
2019	9	11	JF-E16b	1	Osmia montana	Asteraceae	BC-B10	4	20-21 Jul	20-Jul	201	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	31-Jul	30-Jul	25-Aug	cocoon	36	0
2019	2	5b	JF-E16b	2	Osmia montana	Asteraceae	BC-B10	9	24-Jul	24-Jul	205	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	31-Jul	3-Aug	6-Sep	cocoon	44	0
2019	2	5	JF-C8	1	Osmia coloradensis	Taraxacum	BC-H4	1	1-Jul	1-Jul	182	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	16-Jul	11-Jul	30-Jul	dead	29	1
2019	8	11	GT-C14	4	Cephalosmia	Taraxacum	BC-H4	2	2-Jul	2-Jul	183	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	16-Jul	12-Jul	1-Aug	dead	30	1
2019	5	5	GT-B6	1	Osmia coloradensis	Taraxacum	BC-H4	3	3-Jul	3-Jul	184	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	16-Jul	13-Jul	1-Aug	dead	29	1
2019	1	1	JF-C3	2	Osmia coloradensis	Taraxacum	BC-H4	4	4-Jul	4-Jul	185	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	16-Jul	14-Jul	18-Jul	dead	14	1
2019	7	7	GT-C14	2	Cephalosmia	Taraxacum	BC-H4	6	6-Jul	6-Jul	187	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	17-Jul	16-Jul	6-Sep	alive	62	0
2019	3	13	SG-D1	1	Osmia coloradensis	Taraxacum	BC-H4	7	7-Jul	7-Jul	188	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	17-Jul	17-Jul	3-Aug	dead	27	1
2019	1	7b	"KP-J9, 2018"	5	Osmia subaustralis	Asteraceae	BC-H4	8	7-8 Jul	7-Jul	188	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	20-Jul	17-Jul	31-Aug	cocoon	55	0
2019	1	1b	JF-C3	2	Osmia coloradensis	Taraxacum	BC-H4	9	8-Jul	8-Jul	189	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	20-Jul	18-Jul	3-Aug	dead	26	1
2019	3	15	KP-K8	1	Osmia subaustralis	Asteraceae	GT-B3	1	4-6 Jul	5-Jul	186	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	22-Jul	15-Jul	3-Aug	dead	29	1
2019	8	1	GT-B6	1	Osmia coloradensis	Taraxacum	GT-B3	2	5-7 Jul	6-Jul	187	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	23-Jul	16-Jul	30-Jul	dead	24	1
2019	2	11	SG-E12	2	Osmia coloradensis	Taraxacum	GT-B3	4	7-8 Jul	7-Jul	188	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	23-Jul	17-Jul	5-Aug	dead	29	1
2019	3	11	GT-C14	5	Cephalosmia	Asteraceae	GT-B6	1	25-Jun	25-Jun	176	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	12-Jul	5-Jul	24-Jul	dead	29	1
2019	6	11	SG-B7	5	Osmia coloradensis	Taraxacum	GT-B6	2	26-Jun	26-Jun	177	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	12-Jul	6-Jul	20-Jul	dead	24	1
2019	5	15	SG-C13	1	Osmia coloradensis	Taraxacum	GT-B6	3	26-Jun	26-Jun	177	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	12-Jul	6-Jul	14-Jul	dead	18	1
2019	8	9b	GT-C4	10	Osmia coloradensis	Taraxacum	GT-C11b	3	6-Jul	6-Jul	187	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	23-Jul	16-Jul	7-Aug	dead	32	1
2019	8	13	CT-C11b	3	Osmia coloradensis	Taraxacum	GT-C13b	3	6-7 Jul	6-Jul	187	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	23-Jul	16-Jul	1-Aug	dead	26	1
2019	3	9	SG-E3	2	Osmia coloradensis	Taraxacum	GT-C14	1	24-25 Jun	24-Jun	175	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	11-Jul	4-Jul	28-Jul	dead	34	1
2019	7	13	SG-E3	4	Osmia coloradensis	Taraxacum	GT-C14	3	27-29Jun	27-Jun	178	Cephalosmia	Cephalosmia	Taraxacum	Transfer	E	12-Jul	17-Jul	30-Jul	dead	33	1
2019	4	11	BC-H4	1	Osmia coloradensis	Asteraceae	GT-C14	4	28-30 Jun	29-Jun	180	Cephalosmia	Cephalosmia	Taraxacum	Transfer	L	16-Jul	9-Jul	1-Aug	dead	33	1
2019	8	7	GT-C4	1	Osmia coloradensis	Taraxacum	GT-C14	7	2-3 Jul	2-Jul	183	Cephalosmia	Cephalosmia	Asteraceae	Transfer	E	12-Jul	16-Jul	25-Aug	cocoon	54	0
2019	5	8	SG-D7	1	Osmia coloradensis	Taraxacum	GT-C14	8	4-6 Jul	5-Jul	186	Cephalosmia	Cephalosmia	Asteraceae	Transfer	E	12-Jul	18-Jul	7-Aug	dead	33	1
2019	4	3	SG-E3	1	Osmia coloradensis	Taraxacum	GT-C4	1	26-Jun	26-Jun	177	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	12-Jul	6-Jul	30-Jul	dead	34	1
2019	5	10	BC-H4	2	Osmia coloradensis	Asteraceae	GT-C4	4	29-Jun	29-Jun	180	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	16-Jul	9-Jul	26-Jul	dead	27	1
2019	8	3	BC-H4	10	Osmia coloradensis	Asteraceae	GT-C4	9	4-Jul	4-Jul	185	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	20-Jul	14-Jul	26-Jul	dead	22	1
2019	6	5	KP-K8	2	Osmia subaustralis	Asteraceae	GT-C4	10	5-Jul	5-Jul	186	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	22-Jul	15-Jul	3-Aug	dead	29	1
2019	8	5b	BC-H4	5	Osmia coloradensis	Asteraceae	GT-C4	11	6-Jul	6-Jul	187	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	23-Jul	16-Jul	3-Aug	dead	28	1
2019	1	3	SG-C16	1	Osmia coloradensis	Taraxacum	JF-A12b	1	11-13 Jul	12-Jul	193	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	22-Jul	22-Jul	31-Aug	cocoon	50	0
2019	4	9	"KC-E1, 2018"	8	Osmia montana	Asteraceae	JF-C8	1	26-28 Jun	27-Jun	178	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	9-Jul	7-Jul	26-Jul	dead	29	1
2019	9	9	JF-B5	2	Osmia coloradensis	Asteraceae	JF-E16b	1	21-23 Jul	22-Jul	203	Osmia montana	Cephalosmia	Asteraceae	Transfer	E	31-Jul	3-Aug	9-Aug	dead	18	1
2019	1	13b	BC-H4	3	Osmia coloradensis	Asteraceae	JF-E16b	3	24-25 Jul	24-Jul	205	Osmia montana	Cephalosmia	Asteraceae	Transfer	L	31-Jul	3-Aug	31-Aug	cocoon	38	0
2019	2	9b	SG-C16	2	Osmia coloradensis	Taraxacum	JF-E16b	4	26-27 Jul	26-Jul	207	Osmia montana	Cephalosmia	Asteraceae	Transfer	E	31-Jul	5-Aug	6-Sep	alive	42	0
2019	6	3b	BC-B10	6	Osmia coloradensis	Asteraceae	JF-E16b	5	28-29 Jul	28-Jul	209	Osmia montana	Cephalosmia	Asteraceae	Transfer	E	31-Jul	7-Aug	6-Sep	alive	40	0
2019	9	15	JF-C12	1	Osmia coloradensis	Asteraceae	KP-I5	3	17-Jul	17-Jul	198	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	L	31-Jul	27-Jul	23-Aug	cocoon	37	0
2019	9	3b	VB-A1 (sebastien's blocks)	1	Cephalosmia	Asteraceae	KP-I5	6	19-20 Jul	19-Jul	200	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	L	31-Jul	29-Jul	23-Aug	cocoon	35	0
2019	2	13b	BC-B10	9	Osmia coloradensis	Asteraceae	KP-I5	7	20-Jul	20-Jul	201	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	L	31-Jul	30-Jul	25-Aug	cocoon	36	0
2019	9	13b	JF-E16b	4	Osmia montana	Asteraceae	KP-I5	8	21-Jul	21-Jul	202	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	L	31-Jul	31-Jul	25-Aug	cocoon	35	0
2019	5	10b	BC-H4	2	Osmia coloradensis	Asteraceae	KP-I5	9	22-Jul	22-Jul	203	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	L	31-Jul	1-Aug	23-Aug	cocoon	32	0
2019	6	7	JF-A12b	1	Osmia coloradensis	Asteraceae	KP-K8	1	15-Jul	15-Jul	196	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	L	22-Jul	22-Jul	3-Aug	dead	19	1
2019	3	3	JF-A12b	2	Osmia coloradensis	Asteraceae	KP-K8	3	17-Jul	17-Jul	198	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	E	22-Jul	26-Jul	3-Aug	dead	17	1
2019	7	1	BC-H4	4	Osmia coloradensis	Asteraceae	SG-B4	1	28-30 Jun	29-Jun	180	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	16-Jul	9-Jul	1-Aug	dead	33	1
2019	6	13	BC-H4	8	Osmia coloradensis	Asteraceae	SG-B4	3	3-4 Jul	3-Jul	184	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	20-Jul	13-Jul	7-Aug	dead	35	1
2019	2	3	SG-E12	4	Osmia coloradensis	Taraxacum	SG-B4	4	5-Jul	5-Jul	186	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	22-Jul	15-Jul	5-Aug	dead	31	1
2019	1	9	SG-B7	3	Osmia coloradensis	Taraxacum	SG-B4	5	6-Jul	6-Jul	187	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	23-Jul	16-Jul	3-Aug	dead	28	1
2019	1	15	GT-C14	3	Cephalosmia	Taraxacum	SG-B4	6	6-Jul	6-Jul	187	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	23-Jul	16-Jul	7-Aug	dead	32	1
